username,accDesc,location,following,followers,totaltweets,usercreated,tweetcreated,retweetcount,favoritecount,text,tweetsource,hashtags
klue_bear,Get a Klue 😉 ‘Perhaps home is not a place but simply an irrevocable condition’ -James Baldwin.,,162.0,213.0,23821.0,2018-10-24 01:48:35,2020-11-04 10:36:50,0.0,0.0,@emmytargaryen It's all those Trump supports probably,Twitter for iPhone,[]
hadzup,"I identify as an attack helicopter
Pronouns: fook/you
Climate Change is a scam.
Bring back RSS twitter feeds!
It's OK to be white! (but not for long I'd guess)",,136.0,18.0,430.0,2008-01-15 00:20:20,2020-11-04 10:36:50,0.0,0.0,"@Katie32539436 @cedarsjwsurvey like i said, in a normal election they would count them all, but it becomes a lower priority because it doesn't affect the outcome.
this election they stopped counting them otherwise they would have had to declare trump the winner on the night, this was their plan all along",Twitter Web App,[]
Gurkengames,"Fun R6 Player for @lauchboys & Ranked pleb
Find me on Youtube: https://t.co/1ioDmYszu2…
Redbulldriver in the @f1dachliga
Creator of the @HorizonpediaE App",Dortmund,139.0,59.0,2632.0,2016-10-23 15:10:12,2020-11-04 10:36:50,0.0,0.0,#Election2020 Is about to become the biggest farce in the the history of the US. Can someone please lock in Trump before he embarasses his entire country and the world even more with his stupid lies?,Twitter Web App,"[{'text': 'Election2020', 'indices': [0, 13]}]"
Angel1000prcenr,I'm an educator. I'm into animal rescue & helping others. I'm concerned about the sixth mass extinction and also about the illegalities of gov't officials.,"Florida, USA",1035.0,216.0,45498.0,2016-07-27 15:53:27,2020-11-04 10:36:50,0.0,0.0,"Keep in mind, if trump loses, there is a way we can all stop this garbage. Stay tuned. The electoral college numbers are predictions, NOT REALITY, so don't fall for the games the media is playing.

The votes for electoral college do not get submitted and counted until Dec &amp; Jan.",Twitter for Android,[]
christineann93,𝟚𝟟 • 𝕄𝕚𝕟𝕚𝕒𝕥𝕦𝕣𝕖 • 𝔸𝕦𝕥𝕙𝕖𝕟𝕥𝕚𝕔𝕒𝕝𝕝𝕪 𝔸𝕨𝕜𝕨𝕒𝕣𝕕 •,United States,57.0,328.0,6000.0,2011-11-09 22:37:10,2020-11-04 10:36:49,0.0,0.0,@SavSOS_ I wonder how you came to this conclusion when Trump countlessly opposed the riots while Biden just sat there twiddling his thumbs...??,Twitter for iPhone,[]
salamandyy,not your ordinary..🌻⚜️,"Fullerton, CA",211.0,147.0,2662.0,2013-01-29 04:59:27,2020-11-04 10:36:49,0.0,0.0,You can't be a cowboys fan and support Trump... lol you gotta pick a struggle 😂,Twitter for Android,[]
whoshotjr_,No pun intended. Follow @wyexpect & @WYElowkeyrnb,,454.0,173.0,45617.0,2011-05-18 03:45:34,2020-11-04 10:36:49,0.0,0.0,Biden really gonna win this and Trump gonna be a sore loser and take it up to the Supreme Court. This country is wild,Twitter for iPhone,[]
_MaC_Xxx,"No DM Please|find me on #Parler@UKMissMaC
#IStandWithIsrael #alllivesmatter #BRLM #scummedia #KBF","London, England",3849.0,2738.0,12357.0,2013-04-16 09:45:59,2020-11-04 10:36:49,0.0,0.0,@Conno99 @Pada1r @JamiuEsho @piersmorgan By miraculously finding votes for Biden when Trump was leading..Its a fucking sham and everyone knows it,Twitter for Android,[]
CLYDEGI62203021,"Studied at University of KY. , Vietnam Vet, Retired Centrifuge Technician, America loving West Virginia hillbilly and self taught artist.",,373.0,103.0,1716.0,2019-10-20 01:56:13,2020-11-04 10:36:49,0.0,0.0,"Thank you all that have fought along with me to get President Trump reelected, although it hasn't been called yet we can see we got this one in the bag. CONGRATULATIONS! https://t.co/CdYIMyiSvi",Twitter Web App,[]
CatintheHome,Vote/Throw the bums out ! / Make Earth Healthy Again/ Never Give Up !,,1438.0,1158.0,115841.0,2018-03-15 01:00:38,2020-11-04 10:36:49,0.0,0.0,"@WileELiberal Trump's bought and paid for Supreme Court ? What agency, American institution hasn't he corrupted ? He has perverted American democracy.",Twitter Web App,[]
J_Brajdic,SoCal resident • Interested in History & Progress • Aspiring Educator • Student of Objectivism • tOSU Alum // Views are entirely my own,,201.0,238.0,471.0,2014-11-23 19:30:45,2020-11-04 10:36:49,0.0,0.0,"I consider it an absolute disgrace that this type of behavior from Trump has gone on for so long, and I’m heartbroken to think that the worst is yet to come. He deserves to be morally condemned for all he’s done—not rewarded with another term.",Twitter for iPhone,[]
Big_Daddy_Vee,Keep Slaying & Hustling 🤘🏼✨,"Medford, MA",839.0,2502.0,125727.0,2009-05-24 15:37:23,2020-11-04 10:36:49,0.0,0.0,Seeing a Portuguese flag in someone’s bio and then seeing they’re trump supporters doesn’t even surprise me anymore .,Twitter for iPhone,[]
FINdyCar,"A motorsports, tennis, and winter sports enthusiast. Languages: EN-FI-DE-SE",Finland,1907.0,801.0,27306.0,2013-04-18 17:27:59,2020-11-04 10:36:49,0.0,0.0,I don’t really care about Trump declaring the victory. Counting will show if he was right. But what I despise is his unwillingness to unite the nation and instead just trying to divide it. #ElectionNight,Twitter for iPhone,"[{'text': 'ElectionNight', 'indices': [189, 203]}]"
qasimbinnaseer,An Army Brat 🇵🇰 ! Constructive criticism is welcome But not Jahliyat ! Mind over Matter “ I don’t mind & they don’t matter” Allah al Haq hai”,United States,578.0,261.0,9171.0,2015-02-16 16:40:00,2020-11-04 10:36:49,0.0,0.0,@NaikRooh Best thing about Trump was that he didn’t start any new war in fact he pledged to pull out forces from afghanistan &amp; other countries.,Twitter for iPhone,[]
OfBluez,"husband, father of 2 four-legged kids, educator, nature lover","Union County, Ohio",247.0,75.0,2270.0,2018-07-17 16:35:21,2020-11-04 10:36:49,0.0,0.0,"@YNB I say we create two separate countries from our one.  The first will be still be called USA, the United States of Acceptance.  The other with all the Trump supporters called USSR (United States of Stupidity and Racism).",Twitter Web App,[]
samdoust,art/creative director. one foot in the old school.,Sydney,435.0,428.0,2528.0,2007-05-21 02:12:23,2020-11-04 10:36:49,0.0,0.0,Textbook Trump. Even Pence put a little daylight between him and his boss. https://t.co/m6C8SCuJ3l,Twitter for iPhone,[]
ritaconcepcion3,Soy Olimpista!🌟🌟🌟🏆🏆🏆,,1124.0,1750.0,21574.0,2019-05-13 17:49:58,2020-11-04 10:36:49,0.0,0.0,TRUMP 2020!! ❤️❤️❤️🤪🤪 https://t.co/CqfdR0gSM1,Twitter for Android,[]
JonathanWood,"Yes to; @Arsenal @TheKinks @WorkersPartyGB, dirty rock 'n' roll, records, gigs, distance 🏃🏻, justice, peace, love, understanding, veg*nism. I/G: woodywoodpeka",With the punks in Praed St.,971.0,1608.0,110497.0,2009-02-27 16:02:09,2020-11-04 10:36:49,0.0,0.0,"@DidymusBrush The only explanation can be they don’t trust the democrats. Biden is past his sell by date &amp; is tainted by his past record on racism, war-mongering with Obama. He doesn’t offer hope. It come down to crude identity &amp; tribalism. Trump has more energy than Biden however distasteful.",Twitter for iPhone,[]
TheJillG,"Digital strategy/recovering politico/global health. 🇿🇦 by marriage. Past lives: DC 🇺🇸, FL, porteña 🇦🇷 & NYer. ❤️🍷 dachshunds, tech, passport stamps.","Cape Town mostly, sometimes Washington DC",1846.0,705.0,10060.0,2007-11-08 23:10:29,2020-11-04 10:36:49,0.0,0.0,"@RefilWest The shy Trump voter is real. I guess it's hard to break your white supremacist, Christian, misogynistic chains.",Twitter Web App,[]
BeckiMeister,"Rebel with a Cause. Educator. Public Policy Shaker. 
Irish lady in Ireland.
University of Glasgow. Wellbeing Education. @SocDems 💜","Cork, Ireland",5000.0,1120.0,7123.0,2010-08-02 15:08:21,2020-11-04 10:36:48,0.0,0.0,4 years later. Trump walking into a room with 'Hail to the Chief' playing. Still feels like a sketch show.,Twitter for Android,[]
MarxGoldberg2,"Abolish the auto, police and capitalism. prob in that order. “When mis-fortune is a crime; crime is a mis-fortune” -K. Marx",Salish / Duwamish / Cascadia ,651.0,166.0,1174.0,2020-02-18 10:45:10,2020-11-04 10:36:48,0.0,0.0,@daeshikjr Biden has to be considered the favorite at this time.  Unlike 2000 networks NOT declaring a winner is a big deal; Trump was planning for that.,Twitter for iPhone,[]
rafaeljoseRdas1,,,140.0,28.0,934.0,2016-05-30 13:32:43,2020-11-04 10:36:48,0.0,0.0,@RealDeanCain @novogratz Trump Wins 🙏❤🇺🇸🇧🇷,Twitter for Android,[]
JohannBiermann1,"Sometimes I tweet in Afrikaans. Markets in the week, wine & sport over weekends.","Somerset West, South Africa",343.0,7540.0,38392.0,2012-01-05 12:27:55,2020-11-04 10:36:48,0.0,0.0,"@lukelikeswine Really one of favourite events to follow.

This will be a big blow for Trump. He needs to hold to his gains in MI, PA, NC and GA. If not, end of the road...",Twitter Web App,[]
MMichellllle,Observing | 18 | Economics,,420.0,350.0,186.0,2019-10-28 22:49:29,2020-11-04 10:36:48,0.0,0.0,"Lowkey want Trump to lose to bully my trumper friends

Highkey want Trump to win because I prefer his foreign policies https://t.co/mgexBuFbyZ",Twitter for Android,[]
UphillBright,Manager  https://t.co/CGG6dqGNgA | Major Distributor Aimglobal | Aspiring to be the best i can be...,"Lagos, Nigeria",147.0,67.0,825.0,2020-03-22 23:37:16,2020-11-04 10:36:48,0.0,0.0,@daily_trust Trump sef na comedian,Twitter for Android,[]
hammaty3,NOT A PYRAMID SCHEME!!!!!!!,the trunk,162.0,62.0,593.0,2019-06-27 18:15:48,2020-11-04 10:36:48,0.0,0.0,"trump said “votes counted after polls close don’t count” like he expects them all to be for Biden, but i would think votes found hidden somewhere would be republican votes. they’re always hiding stuff. like the fact that they’re racist or tax returns or hatred of other races or-",Twitter for iPhone,[]
J_Brajdic,SoCal resident • Interested in History & Progress • Aspiring Educator • Student of Objectivism • tOSU Alum // Views are entirely my own,,201.0,238.0,471.0,2014-11-23 19:30:45,2020-11-04 10:36:48,0.0,0.0,Tonight’s speech by Trump was downright reprehensible. It’s something that tyrants of third world countries might say—not the damn President of the United States.,Twitter for iPhone,[]
unity1992,UK National. Resists the Invasion of the Body *SNat*-chers.🤔Not a “unionist” we don’t live in 1707.👍🏻 Multi-nation states are normal.,"Scotland, UK, Europe, Earth.",1776.0,501.0,8272.0,2020-05-01 20:07:27,2020-11-04 10:36:48,0.0,0.0,@INDI_SCOTLAND @Germans4indyref Just stating a fact. Trump is Scottish and a nationalist.,Twitter for iPhone,[]
Captainbillyru1,"Online Minister, world beating captain and a ruffian, former Royal Navy Engineer, sailor, blogger, all round good egg.#FBPE No DMs","South West, England",616.0,332.0,3769.0,2019-11-10 19:15:40,2020-11-04 10:36:48,1.0,0.0,"I now believe that Donny DID contract Covid and recovered in record time. He obviously spent three days in Walter Read injecting Domestos with a torch up his arse.
Coronavirus: Outcry after Trump suggests injecting disinfectant as treatment https://t.co/Z4kaA0tFAx",Twitter for iPhone,[]
SportsHargis,UARK ‘23 Opinions are my own.,"Arkansas, USA",70.0,2.0,120.0,2020-09-16 04:55:42,2020-11-04 10:36:48,0.0,0.0,"Oh hot Sally and Patty, @JoeSteinmetz is still pissed he’s Jewish! @realDonaldTrump @DanRather !",Twitter for iPhone,[]
tinteleer,,,19.0,1.0,27.0,2016-02-04 19:24:20,2020-11-04 10:36:48,0.0,0.0,@JJansaSDS @realDonaldTrump @Mike_Pence @GOP @idualliance Who are you and wtf are you talking about,Twitter Web App,[]
benross456,,,62.0,39.0,4543.0,2014-07-18 01:12:43,2020-11-04 10:36:48,0.0,0.0,@dowhatlightsyou @dougducey @realDonaldTrump @DonaldJTrumpJr @kayleighmcenany Shut up,Twitter for Android,[]
poppy_booth,just want to be a dog being held like a handbag by a woman on a train station platform 😰,,647.0,66.0,38.0,2012-04-27 17:10:20,2020-11-04 10:36:48,0.0,0.0,i think if americans knew that trump meant fart in the uk we could have avoided all of this,Twitter for iPhone,[]
Mrt12294,,,141.0,55.0,522.0,2019-10-29 02:08:52,2020-11-04 10:36:48,0.0,0.0,"@MidlifeMoves @realDonaldTrump Living in a bunch of lefties world, there will be civil war in America before they give in",Twitter for Android,[]
tyjanii,,"Lagos, Nigeria",901.0,972.0,40278.0,2012-05-25 02:21:50,2020-11-04 10:36:48,0.0,0.0,Lol no way https://t.co/6Zl9OVsZvY,Twitter for iPhone,[]
thenewssheep,Graze on the News around Us,,51.0,54.0,7671.0,2020-01-13 19:10:01,2020-11-04 10:36:48,0.0,0.0,"From AP Morning Wire:

• Cliffhanger: Trump talks court, Biden says 'keep the faith.'
• GOP holds back Dems in Senate; Dems set for House.
• Virus hospitalizations surge in US, Europe.
• George Floyd’s brother rallies voters, urges calm.

SIGN UP:  … https://t.co/fnyXJJkSw7",IFTTT,[]
me_memecannot,{They/Them} I love: Bees🐝 Music🎼 Violin🎻 Boxing🥊 Fencing⚔️ SuperWhoLock🌌 Hannibal🔪! Atheist⚛️ Autistic and Proud🧠 #BlackLivesMatter #Vote,"NonBinary, Dysphoria Diagnosis",300.0,141.0,2967.0,2016-03-14 01:10:47,2020-11-04 10:36:48,0.0,1.0,"@FrostyWolf75 @sprigkinnie @kipify Please! I’m a fellow trans, pan-romantic, asexual minor and I do NOT make exceptions for Trump supporters. I do not let them GET AWAY with things. Being your mutual means SO much to me, and I’m sorry if I hurt you. 🥺",Twitter for iPhone,[]
Elliot_Bertram,#Marketing SThree Plc | @TheIDM Exam Board | Dad of daughters 😍 | Bringing skilled people together to build the future #STEM,"Ruislip, London",315.0,6054.0,8466.0,2012-07-20 21:16:20,2020-11-04 10:36:48,0.0,0.0,A lot of extremely negative things written about both Trump and Biden voters. These voters are people and are entitled to their opinions which cannot just be flippantly disregarded. Have a degree of restraint and respect. You are part of the polarisation issue. #USAElections2020,Twitter Web App,"[{'text': 'USAElections2020', 'indices': [262, 279]}]"
rupa_jha,"Head of Indian Languages,BBC World Service. Music enthusiast.Tweets are personal.","New Delhi, India",658.0,16830.0,4083.0,2012-03-03 17:44:51,2020-11-04 10:36:48,0.0,0.0,US election results: What Trump and Biden still need to clinch victory #USAElections2020  https://t.co/Uj2zXzabiF,Twitter for iPhone,"[{'text': 'USAElections2020', 'indices': [71, 88]}]"
StormThePolls,"#MAGA WE MUST GET NEW VOTERS TO THE POLLS, If Biden wins it’s over. Operating #StormThePolls this is a Challenge. I have found 4 new voters I helped them vote!",,2180.0,2301.0,5978.0,2020-09-17 18:11:57,2020-11-04 10:36:48,0.0,0.0,@Nick05583858 99% in Trump behind and the next count will be a liberal strong hold,Twitter Web App,[]
gabrielmahia,Traveler. Reader. Technology Enthusiast. Music (All Genres).,United States,425.0,124.0,21474.0,2010-06-29 11:47:14,2020-11-04 10:36:48,0.0,0.0,Donald Trump Hasn't Won Anything Yet https://t.co/gtrfoLEf7O,IFTTT,[]
AT_Trades,"My trade ideas i post are BEFORE the trade happens, just to prove a point, they are not suggestions! do your own DD. good luck","New York, USA",92.0,167.0,2195.0,2016-07-09 07:30:04,2020-11-04 10:36:48,0.0,0.0,@RaviAhuja20 @realDonaldTrump No it doesnt,Twitter for iPhone,[]
arrhenius,"Former faceless bureaucrat, now Senior Fellow and Associate at IEEP. Tweets are in a personal capacity, particularly when they are opinionated or embarrassing.",London,578.0,1143.0,16098.0,2009-01-02 11:17:12,2020-11-04 10:36:48,0.0,0.0,@darrengrimes_ You’re talking about elected politicians making decisions on behalf of their electors. That’s how it works in a democracy. Trump is trying to steal an election.,Twitter for iPhone,[]
cebejani56,so grateful...,South Africa,1208.0,234.0,1423.0,2015-02-01 06:34:23,2020-11-04 10:36:48,0.0,0.0,@vngalwana @Enghumbhini @realDonaldTrump Having idiots like @realDonaldTrump as president is good enough. Americans must also go tru what we all go through when we vote for idiots,Twitter for Android,[]
AlAl28800055,Embarrassed American. Climate change will end us within 50 years. Cite all sources before catching me outside. BLACKLIVESMATTER TRANSLIVESMATTER,"Cheney, WA",461.0,149.0,5047.0,2020-06-04 21:52:38,2020-11-04 10:36:48,0.0,0.0,@sambearrr @TrollFootball I wish there was a rule that if you’re inbred you can’t vote lol fucking humiliating that so many people voted for trump.,Twitter for iPhone,[]
JuliusLukyamuzi,Am a born again and I love Jesus with all my soul.I love preaching the Gospel and making friends all over the world.,"Kampala, Uganda",1155.0,306.0,995.0,2014-07-15 12:59:32,2020-11-04 10:36:48,0.0,0.0,@ScottPresler @Alices_Daughter @realDonaldTrump So encouraging atleast,Twitter for Android,[]
lumezgo77,Distraido. Tifoso. Taurino. Citizen. Garrulo.,,760.0,1016.0,399303.0,2011-06-09 23:25:06,2020-11-04 10:36:47,0.0,0.0,@Black_C_Patriot @seanmdav @realDonaldTrump Smell the fraud!?,Twitter for iPhone,[]
beepboop1100,Beep Boop,,10.0,15.0,75858.0,2016-09-26 19:11:40,2020-11-04 10:36:47,0.0,0.0,racist trump,"Cheap Bots, Done Quick!",[]
VivianiPietro,Sempre alla ricerca della verità  e della via per raggiungerla senza far prevalere del tutto il cervello razionale su quello emotivo,"Salerno, Campania",677.0,249.0,1621.0,2012-01-23 23:48:56,2020-11-04 10:36:47,0.0,0.0,Forza Trump https://t.co/9RtsQe1VLm,Twitter for iPhone,[]
thenewssheep,Graze on the News around Us,,51.0,54.0,7672.0,2020-01-13 19:10:01,2020-11-04 10:36:47,0.0,0.0,Trump Falsely Claims Victory With Votes Uncounted: 10 Points https://t.co/cnfeX4BKZx https://t.co/PzxQK7IIFU,IFTTT,[]
Utep2Stepz,Microcap/Smallcap ASX Trader.,,519.0,127.0,2200.0,2012-01-18 08:03:10,2020-11-04 10:36:47,0.0,0.0,"@grigg_d @KumovaTolga It is, they wouldn't have hesitated to count them tonight if Biden was in front in North Carolina, Michigan, Pennsylvania and Georgia. Trump only needs to stay in front in three of those to win.",Twitter for Android,[]
waqarkhanx,"A pharmacist(Doctor)in building. An optimist.@Pakhtoon,coffee ☕️ love mountains 🏔,hiking and riding @25feb",Dir lower kpk pakistan,640.0,243.0,1404.0,2013-12-01 07:21:23,2020-11-04 10:36:47,0.0,0.0,@realDonaldTrump why? what happened? https://t.co/tjIMxEsFE1,Twitter for iPhone,[]
mirasdeath,,,166.0,181.0,23427.0,2015-10-12 08:01:04,2020-11-04 10:36:47,0.0,0.0,not my parents both saying they want trump to win 😐😐😐😐 i knew i hate this family for a reason,Twitter for iPhone,[]
aluhssa,🇵🇭🇨🇳. she/her.,dlsu,296.0,281.0,5147.0,2017-09-07 06:12:30,2020-11-04 10:36:47,0.0,0.0,idk man you cant support duterte but hate trump....they share the same qualities?? Pls hate on both,Twitter for iPhone,[]
ncitydesk,,she/her • nct • ｡⋆˚｡⋆୨୧˚༶˚ ⋆ ｡⋆,677.0,722.0,3195.0,2020-06-24 14:42:15,2020-11-04 10:36:47,0.0,0.0,@Gazza42004748 @realDonaldTrump No we don’t ❤️,Twitter for iPhone,[]
hellraisin,“Oh my Gob. Thishe ish terribllrgh. Thishe ish the end of my preshdensche. I am fuschkd.” Gob blesh the Unida Shashe. (He/him),127.0.0.1,2526.0,493.0,31731.0,2009-08-07 18:26:16,2020-11-04 10:36:47,0.0,1.0,@daraobriain Last time Donald Trump had a nosebleed was when his hemorrhoids flared up.,TweetDeck,[]
usebit_,"If no be God were i for dey today. am not Lucky, but am Blessed!!! Music Recording/Performing artist. #BOP Breeze of Peace. Nani Jehova!",Enugu,952.0,396.0,4689.0,2010-06-24 15:11:50,2020-11-04 10:36:47,0.0,0.0,@VYiLZbn7ac8D3fl @realDonaldTrump Uncle trump God is with u n He will give you success in Jesus Name Amen.,Twitter for Android,[]
MichaelSinger48,"New business development guru, die hard Man Utd. supporter. Aghast at Trump shenanigans. Helping #resist #FBR from 🇨🇦","Toronto, Canada",4355.0,3889.0,17641.0,2013-01-22 22:52:34,2020-11-04 10:36:47,0.0,0.0,@AngrierWHStaff What happened to the polls? Biden's lead was above the margin of error. Cook virtually guaranteed victory by a landslide? Could this be yet another huge swindle by tRump?,Twitter for Android,[]
RAED57,People will forget what you said people will forget what you did but people will never forget how you made them feel ❤,🇸🇦,32.0,620.0,30610.0,2011-07-24 20:46:15,2020-11-04 10:36:47,0.0,0.0,Trump is close to winning 😻,Twitter for Android,[]
chickenliltrash,,he/him,376.0,255.0,6543.0,2019-04-13 04:42:15,2020-11-04 10:36:47,0.0,0.0,i don’t think the trump supporters and straight white men understand that i feed off of attention &lt;3 the more you respond to me the better my day gets,Twitter for iPhone,[]
4h31dee,Blocked by Peter Hitchens since 2016. Postgrad. kesk-sor-zer.,,163.0,384.0,8996.0,2011-10-20 17:33:50,2020-11-04 10:36:47,0.0,0.0,"For the record, even with a Trump win, the liberal world order is very much still alive and kicking",Twitter Web App,[]
CygGeorge,"Biopolitics, Social Issues, Accounting, Economics.
🇬🇷🇨🇾",Cyprus,259.0,91.0,447.0,2020-08-11 21:25:31,2020-11-04 10:36:47,0.0,0.0,Haha best video of Trump 👇 https://t.co/vtpWmA20r4,Twitter for Android,[]
SeanMon7,"Husband,Musician,animal lover, truck driver. A regular guy with an irregular obsession with politics.",,21.0,10.0,1246.0,2020-05-31 00:52:07,2020-11-04 10:36:47,0.0,0.0,@joelockhart @gtconway3d Part of the reason so many Americans still have faith in Trump is that they are simply fed tonnes of misinformation by places like Fox. My hope is that if Trump looses the information dam will break and a lot of those  Americans will hear the truth about Trump and change.,Twitter for iPhone,[]
Hungoverllama,Anti globalist - Anti racist - Pro capitalist - Pro facts/truth - We are all human - There's only right and wrong in life - You are responsible for your actions,UK,177.0,39.0,1297.0,2012-03-04 11:59:01,2020-11-04 10:36:47,0.0,0.0,"@JayDavidMurphy @JohnCleese What a moronic comment! Everyone is wacist 😭😭😭 
A vote for Trump isn't racist, I think you'll find Biden is the one making racist comments. Trump is not racist at all, if he is,  then prove it ? 
Waiting",Twitter for Android,[]
profundo_basso,"Bass player, Small statist, leaver, flying, sailing #DefundtheBBC. It's not a guitar actually.",SW London,701.0,407.0,12644.0,2018-06-27 07:26:13,2020-11-04 10:36:47,0.0,0.0,"@Arwenstar I thought Trump called for a halt? I can’t keep up, it’s chaos.",Twitter for iPhone,[]
trump101_trump,#MAGA #TRUMP,USA ,15.0,1.0,127.0,2020-10-27 11:33:37,2020-11-04 10:36:46,0.0,0.0,"@Anushkannot No its not! You clearly don't understand how taxes and government spending works. Higher tax payers pay for the majority of people to get free healthcare!! BUT higher tax payers will NEVER use free healthcare, they'll go private. GET RICH and you'll be fine.",Twitter Web App,[]
GaryWarden69,"Gym freak, strongman fanatic Liverpool FC nut, big time boxing fan,boxing has been part of my life for 30 years I love it🥊🥊","Peterborough, England",768.0,165.0,3788.0,2016-09-18 09:55:31,2020-11-04 10:36:46,0.0,0.0,@TheSquaredCirc3 Tbh I don’t think it matters who wins out of trump and Biden!!! Cause Biden isn’t any better.... in fact I’d probably stick my neck out and say he would make things worse,Twitter for iPhone,[]
wefitu12,I decide,Kaliforniaye ,318.0,237.0,10339.0,2010-05-23 05:05:21,2020-11-04 10:36:46,0.0,0.0,"@kaitlancollins @maggieNYT All republicans start of saying the correct thing and few days of pressure from trump, they start singing a different tune",Twitter for iPhone,[]
Donald2O,On 🔥for God | Media| Travel | Humanitarian | Photography | Legal Scholar 👨‍🏫⚖️| Events Mgt | Janitor,"Kampala, Uganda",839.0,281.0,5761.0,2017-08-07 21:53:49,2020-11-04 10:36:46,0.0,0.0,"President Donald Trump's demand for vote counting to stop in an election that is still undecided may have been his most extreme and dangerous assault on the institutions of democracy yet,"" writes CNN's @StCollinson 🤔🤞🏾",Twitter for iPhone,[]
poetgonecrazy,You think you are Crazy?,Some place safe,1288.0,1474.0,26656.0,2012-07-18 05:56:45,2020-11-04 10:36:46,0.0,0.0,@adeyanjudeji Lmao... Baba don stake Trump... He is still gonna win though,Twitter for Android,[]
FadiSharqawi1,,,45.0,0.0,13.0,2019-10-20 16:47:27,2020-11-04 10:36:46,0.0,0.0,"@CharliesNotCool @whiteagle25 @htownbryn @realDonaldTrump How in the world?!!
Dems have to chil the fuckk out!
You've gone too far
Learn basic biology, sharing a 50% of your DNA and 50% from your partner in a baby that what make you a parent",Twitter for Android,[]
MarcusLarry627,"21/Gay🌈/He,They/Creator of @SonicNova_Game! (my sonic fangame) 
I am an illustrator with a huge passion for cartoons and anime alike!

Boyfriend 💕@RedBoi_96💕",,2198.0,20997.0,17802.0,2018-03-24 04:36:04,2020-11-04 10:36:46,0.0,0.0,"I'm gonna lock my account after today and take a break from twitter:

If you follow me and support trump, please block me asap. You're not welcome here.

If you follow me and chose not to vote (and you're 18+) , I'm very disappointed in you. Please do better next time.",Twitter for Android,[]
PeachyKeenWit,Please get over yourself and just wear the fucking mask.😇,"Santa Monica, CA",758.0,2690.0,48484.0,2014-03-13 18:17:27,2020-11-04 10:36:46,0.0,0.0,Holy shit. It happened. 4 more years of Trump. I don't know what I'll do. 😭,Twitter for Android,[]
darealdjfee215,"4 any Bookings E-mail Djfee41@Gmail.com
https://t.co/RJsG5dQbgu",north Philadelphia ,412.0,344.0,10400.0,2013-07-09 20:17:24,2020-11-04 10:36:46,0.0,0.0,"I swear This Guy Trump Wins,  Philly Its Gonna Be Angry 👿😠👿 
I hope everyone vote 4 Biden We Need A Change Trump Is Not It 4 the next 4 years.",Twitter for Android,[]
CelvestianN,"SocDem |  15, from Sweden | Egalitarian | Pro LBGTQ+ |  Working together is the sollution for Democracy! | Loves #Politics, #Science | #Resist",,441.0,429.0,258.0,2020-07-01 17:51:15,2020-11-04 10:36:46,0.0,0.0,"@wm83002 @realDonaldTrump I didn't ask if you didn't ask.    
Also,  I'm not!  Make me buddy :D

Both of your candidates are cringe,   so good luck with 4 years of utter cringe! :D 

Love,  Nesy.",Twitter Web App,[]
Akihiko49619270,less is more 🏳️‍🌈 INFJ,,315.0,213.0,1216.0,2020-04-04 23:31:47,2020-11-04 10:36:46,0.0,0.0,"@lauferlaw @RCgothic That’s completely wrong ! In Pennsylvania only 1 million vote added and by now Biden is 700,000 votes behind of trump that’s impossible for Biden to take 10 electoral votes of Pennsylvania !",Twitter for iPhone,[]
daveexplosm,*Cyanide & Happiness *SweetDaveyBoy *Purgatony on SyFy *We've Got Hostiles *Eisner Nominee *Streamy winner *I've been doing this shit for 20 years,"Dallas, TX/Ireland",922.0,66007.0,26807.0,2009-05-15 18:25:43,2020-11-04 10:36:46,0.0,0.0,@GerryMcBride also it's a very accurate assessment that the current GOP/Trump party are the nWo black and white,Twitter Web App,[]
edemnyavor,Liverpool fan,"Accra, Ghana",200.0,38.0,987.0,2013-06-14 19:56:44,2020-11-04 10:36:46,0.0,0.0,"@bougiefeminist Please allow them to associate with whoever they want. Is that not the essence of freedom of speech and association?? Comments like these are the reason people like Trump more, day by day.
Cos people don't criticize you daily for supporting Biden or Hilary. My Opinion.",Twitter for Android,[]
jimmythewiinner,Figure it out. I Did.,,214.0,34.0,2145.0,2019-09-18 17:27:50,2020-11-04 10:36:45,0.0,0.0,@DeeElefans Cope Harder. Trump ran a shitty campaign. https://t.co/T591LNepg1,Twitter for Android,[]
imktin_,"Hi, stranger.",,41.0,61.0,446.0,2018-09-07 20:24:52,2020-11-04 10:36:45,0.0,0.0,"@DStudentOnline I want biden to win because, I've already seen that let's say, Trump is just ""not fit"" to become a President at times like this. We need to make a change. I want to see development not only for americans but immigrants too.",Twitter for Android,[]
andreideregla,euphoria | THE ESPIONAGE: https://t.co/veS1VCDwH9 COMPLETE,Strawberry Fields Forever,293.0,379.0,19290.0,2014-10-02 10:16:29,2020-11-04 10:36:45,0.0,0.0,nakakabobo both trump and biden are imperialist but you should know the obvious which among them is the greater evil 🤠🤠🤠🤠🤠🤠,Twitter for iPhone,[]
sthlmyid,"Unfortunately Tottenham

Swe x Fra",The capital of Scandinavia,346.0,92.0,1872.0,2020-05-08 12:00:45,2020-11-04 10:36:45,0.0,0.0,"@BennyBearagon @Alexand38618225 @CNN I mean every news station in the US is pretty much shit, with Fox being the worst, CNN might be more on the left side but what they said in this article is just facts that's it, Trump said he won everything in advance so that if he loses, he will claim it is ""rigged""",Twitter Web App,[]
